policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3000,-304.5,4.116666666666666,1.15,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3001,-338.5,4.5,1.2333333333333334,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3002,-543.5000000000002,7.3,1.9166666666666667,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3003,-496.5000000000001,6.7,1.85,28,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3004,-451.5000000000001,6.0,1.6166666666666667,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3005,-729.5000000000002,9.9,2.4166666666666665,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3006,-321.5,4.35,1.1666666666666667,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3007,-327.6,4.4,1.2333333333333334,28,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3008,-480.5000000000001,6.483333333333333,1.7,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3009,-964.1000000000004,13.0,3.216666666666667,24,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3010,-603.5000000000001,8.066666666666666,2.183333333333333,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3011,-330.50000000000006,4.383333333333334,1.25,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3012,-639.2000000000003,8.833333333333334,1.9666666666666666,22,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3013,-411.50000000000017,5.566666666666666,1.4833333333333334,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,3014,-313.5,4.2,1.1333333333333333,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5000,-350.1000000000001,4.883333333333334,1.1833333333333333,24,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5001,-611.7000000000003,8.166666666666666,2.216666666666667,28,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5002,-436.8000000000002,6.166666666666667,1.3666666666666667,20,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5003,-446.90000000000015,6.366666666666666,1.3333333333333333,20,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5004,-344.50000000000006,4.766666666666667,1.2333333333333334,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5005,-645.1000000000003,8.983333333333333,1.9,22,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5006,-514.2000000000002,7.183333333333334,1.6,22,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5007,-498.5000000000002,6.866666666666666,1.6333333333333333,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5008,-432.8000000000002,5.766666666666667,1.5666666666666667,28,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5009,-391.50000000000006,5.283333333333333,1.3666666666666667,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5010,-565.5000000000001,7.566666666666666,2.1,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5011,-281.5,3.816666666666667,1.0,26,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5012,-584.9000000000002,8.233333333333333,1.6666666666666667,20,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5013,-835.4000000000001,11.85,2.25,25,60
directo_10k_fix_s3,direct,models/checkpoints/controller_direct_fixed/seed3/best_model.zip,5014,-447.9000000000001,6.266666666666667,1.3666666666666667,20,60
tiempo_fijo,fixed,deterministic,3000,-360.20000000000005,4.933333333333334,1.35,22,60
tiempo_fijo,fixed,deterministic,3001,-383.20000000000005,5.283333333333333,1.3666666666666667,22,60
tiempo_fijo,fixed,deterministic,3002,-364.20000000000005,4.966666666666667,1.35,22,60
tiempo_fijo,fixed,deterministic,3003,-369.20000000000005,4.983333333333333,1.3833333333333333,22,60
tiempo_fijo,fixed,deterministic,3004,-421.20000000000005,5.683333333333334,1.5166666666666666,22,60
tiempo_fijo,fixed,deterministic,3005,-592.2,8.0,2.05,22,60
tiempo_fijo,fixed,deterministic,3006,-397.20000000000005,5.266666666666667,1.4666666666666666,22,60
tiempo_fijo,fixed,deterministic,3007,-427.2000000000001,5.8,1.5,22,60
tiempo_fijo,fixed,deterministic,3008,-372.20000000000005,5.066666666666666,1.3166666666666667,22,60
