policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7000,-200.49999999999997,2.683333333333333,0.8166666666666667,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7001,-350.3,5.316666666666666,0.7666666666666667,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7002,-268.49999999999994,3.6,1.05,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7003,-169.49999999999994,2.3666666666666667,0.65,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7004,-204.39999999999995,2.8,0.8333333333333334,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7005,-180.29999999999995,2.4,0.7833333333333333,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7006,-1048.8000000000004,14.266666666666667,3.3833333333333333,25,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7007,-218.29999999999995,3.1166666666666667,0.75,14,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7008,-208.39999999999995,2.933333333333333,0.8,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7009,-161.59999999999994,2.0833333333333335,0.6666666666666666,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7010,-343.6000000000001,4.616666666666666,1.25,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7011,-233.29999999999995,3.25,0.85,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7012,-1515.8999999999994,21.466666666666665,3.9166666666666665,25,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7013,-204.39999999999995,2.816666666666667,0.7666666666666667,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7014,-193.89999999999992,2.5166666666666666,0.8166666666666667,19,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7015,-131.2,1.8333333333333333,0.6,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7016,-335.70000000000005,4.55,1.25,18,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7017,-149.09999999999997,2.1,0.55,14,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7018,-248.59999999999994,3.3666666666666667,0.95,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7019,-179.49999999999994,2.433333333333333,0.7166666666666667,16,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7020,-179.39999999999995,2.3666666666666667,0.7833333333333333,17,60
directo_30k_fix_s3,direct,models/checkpoints/controller_direct_30k_fixed/seed3/best_model.zip,7021,-233.89999999999992,3.15,0.95,18,60
