policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7000,-212.89999999999998,2.8833333333333333,0.8666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7001,-204.99999999999997,2.816666666666667,0.8,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7002,-354.0,4.866666666666666,1.2,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7003,-269.0,3.716666666666667,0.9166666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7004,-456.9000000000001,6.216666666666667,1.5666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7005,-190.89999999999998,2.6166666666666667,0.7666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7006,-313.1,4.233333333333333,1.15,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7007,-318.0,4.333333333333333,1.1333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7008,-468.0000000000001,6.3,1.7,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7009,-336.0,4.533333333333333,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7010,-273.99999999999994,3.7,1.0,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7011,-151.89999999999998,2.0833333333333335,0.6166666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7012,-380.00000000000006,5.166666666666667,1.3333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7013,-263.99999999999994,3.6,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7014,-337.0,4.616666666666666,1.1333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7015,-233.99999999999997,3.216666666666667,0.8833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7016,-333.00000000000006,4.6,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7017,-453.00000000000006,6.15,1.5833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7018,-216.99999999999997,2.95,0.8666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7019,-214.89999999999998,2.966666666666667,0.8833333333333333,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7020,-207.89999999999998,2.816666666666667,0.8333333333333334,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7021,-291.1,3.9833333333333334,1.05,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7022,-417.1000000000001,5.633333333333334,1.4833333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7023,-202.99999999999997,2.7333333333333334,0.8166666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7024,-186.89999999999998,2.5166666666666666,0.7666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7025,-273.99999999999994,3.816666666666667,1.0,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7026,-318.1,4.333333333333333,1.2,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7027,-220.89999999999998,3.0166666666666666,0.8333333333333334,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7028,-344.1,4.65,1.2833333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,7029,-571.1,7.633333333333334,2.05,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,7000,-266.09999999999997,3.566666666666667,1.1,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7001,-228.99999999999997,3.05,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7002,-302.1,4.016666666666667,1.2166666666666666,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7003,-256.09999999999997,3.3666666666666667,1.0166666666666666,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7004,-351.1,4.75,1.2666666666666666,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,7005,-194.89999999999998,2.683333333333333,0.75,18,60
sueno,dream,models/checkpoints/controller/best_model.zip,7006,-332.30000000000007,4.55,1.2,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7007,-291.99999999999994,3.933333333333333,1.1333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7008,-467.1000000000001,6.316666666666666,1.7166666666666666,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,7009,-312.0,4.15,1.2166666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7010,-259.0,3.5166666666666666,0.9666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,7011,-151.89999999999998,2.0833333333333335,0.6166666666666667,17,60
