policy,kind,seed_label,scenario_seed,reward,waiting_mean,queue_mean,phase_switches,steps
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3000,-246.89999999999998,3.3666666666666667,0.95,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3001,-973.1000000000001,13.416666666666666,2.9833333333333334,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3002,-544.0000000000001,7.35,1.9666666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3003,-344.00000000000006,4.65,1.2333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3004,-267.09999999999997,3.683333333333333,0.95,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3005,-276.1,3.7666666666666666,1.0666666666666667,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3006,-310.0,4.15,1.1833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3007,-328.1,4.433333333333334,1.25,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3008,-229.99999999999994,3.15,0.85,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3009,-321.00000000000006,4.333333333333333,1.2,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3010,-277.9,3.75,1.0666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3011,-530.0000000000001,7.183333333333334,1.8,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3012,-245.99999999999997,3.316666666666667,0.9666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3013,-219.99999999999997,3.0,0.8333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,3014,-159.89999999999998,2.2666666666666666,0.6,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5000,-316.20000000000005,4.233333333333333,1.1666666666666667,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5001,-255.99999999999994,3.45,0.9666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5002,-332.00000000000006,4.7,1.0666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5003,-823.0000000000001,11.2,2.7,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5004,-210.89999999999998,2.8666666666666667,0.8666666666666667,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5005,-317.0,4.316666666666666,1.15,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5006,-314.1,4.333333333333333,1.1333333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5007,-207.89999999999998,2.8,0.8333333333333334,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5008,-658.3000000000002,8.9,2.283333333333333,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5009,-253.09999999999997,3.4,0.9833333333333333,21,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5010,-208.89999999999998,2.8,0.8333333333333334,17,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5011,-322.0,4.333333333333333,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5012,-358.0,4.85,1.3,19,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5013,-231.89999999999998,3.183333333333333,0.9166666666666666,18,60
sueno,dream,models/checkpoints/controller/best_model_seed0_worse.zip,5014,-279.1,3.783333333333333,1.1,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3000,-223.99999999999997,3.0166666666666666,0.85,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,3001,-312.0,4.25,1.15,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3002,-284.1,3.8833333333333333,1.1166666666666667,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3003,-344.00000000000006,4.65,1.2333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3004,-267.09999999999997,3.6333333333333333,1.0,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,3005,-386.2,5.333333333333333,1.35,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3006,-170.99999999999997,2.3666666666666667,0.7,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3007,-228.99999999999994,3.1333333333333333,0.95,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3008,-306.20000000000005,4.083333333333333,1.1666666666666667,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3009,-350.1000000000001,4.783333333333333,1.2166666666666666,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3010,-250.99999999999997,3.3333333333333335,1.0333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3011,-299.0,3.9833333333333334,1.15,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3012,-357.1,4.783333333333333,1.2833333333333334,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,3013,-254.99999999999994,3.55,0.9166666666666666,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,3014,-333.1,4.466666666666667,1.2333333333333334,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5000,-326.20000000000005,4.333333333333333,1.2,21,60
sueno,dream,models/checkpoints/controller/best_model.zip,5001,-285.99999999999994,3.8833333333333333,1.0666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5002,-395.0000000000001,5.416666666666667,1.3666666666666667,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,5003,-499.30000000000007,6.733333333333333,1.8166666666666667,23,60
sueno,dream,models/checkpoints/controller/best_model.zip,5004,-330.0,4.4,1.25,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5005,-315.0,4.233333333333333,1.1833333333333333,20,60
sueno,dream,models/checkpoints/controller/best_model.zip,5006,-291.1,3.95,1.0833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5007,-227.99999999999997,2.9833333333333334,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5008,-511.30000000000007,6.85,1.85,23,60
sueno,dream,models/checkpoints/controller/best_model.zip,5009,-322.20000000000005,4.366666666666666,1.1666666666666667,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5010,-239.99999999999997,3.2333333333333334,0.9833333333333333,19,60
sueno,dream,models/checkpoints/controller/best_model.zip,5011,-236.99999999999997,3.0833333333333335,1.0333333333333334,19,60
